Time-Cycle,Number,D/N,RootName,L19,L20,L21,EnglishName,Suffix,Choir,Zodiac,Quinary,Attribute,Psalm
06:00–06:20 AM,1,Day,VavHeVav,Vav,He,Vav,Vehuiah,-iah,Seraphim,Aries,0–5°,"Supports the undertaking of the Great Work, elevation, arts, sciences",מִפִּי עוֹלְלִים וְיֹנְקִים יִסַּדְתָּ עֹז לְמַעַן צוֹרְרֶיךָ
06:20–06:40 AM,2,Day,YodLamedYod,Yod,Lamed,Yod,Jeliel,-el,Seraphim,Aries,5–10°,"Diplomacy, victory, social justice, outgoing and optimistic",לָמָה יְהוָה תַּעֲמֹד בְּרָחוֹק תַּעֲלִים לְעִתּוֹת בַּצָּרָה
06:40–07:00 AM,3,Day,SamekhYodTet,Samekh,Yod,Tet,Sitael,-el,Seraphim,Aries,10–15°,"Refuge, protection, reveals truth, goes to the aid of those in need",בְּרָב רַגְלִי רָעֲדוּ בִּי תָּמְכָה חַסְדְּךָ יְהוָה
07:00–07:20 AM,4,Day,AyinLamedMem(final),Ayin,Lamed,Mem(final),Elemiah,-iah,Seraphim,Aries,15–20°,"Concealed strength, travel protection, guardian on journeys",וַיְהִי יְהוָה מִשְׂגָּב לַדַּךְ מִשְׂגָּב לְעִתֹּות בַּצָּרָה
07:20–07:40 AM,5,Day,MemHeShin,Mem,He,Shin,Mahasiah,-iah,Seraphim,Aries,20–25°,"Learning in theology, alchemy, seeks peace, educator, diffuses conflict",וַיהִי יְהוָה לִי לְמִשְׂגָּב וֵאלֹהַי לְצוּר מַחְסִי
07:40–08:00 AM,6,Day,LamedLamedHe,Lamed,Lamed,He,Lelahel,-el,Seraphim,Aries,25–30°,"Healing, cure illness, path for recognition and prosperity",יְהִי חַסְדְּךָ יְהוָה עָלֵינוּ כַּאֲשֶׁר יִחַלְנוּ לָךְ
08:00–08:20 AM,7,Day,YodHeHe,Yod,He,He,Achaiah,-iah,Cherubim,Taurus,0–5°,"Patience, secrets of nature, endurance, perseverance",יְהִי שָׁלוֹם בְּחֵילֵךְ שַׁלְוָה בְּאַרְמְנוֹתָיִךְ
08:20–08:40 AM,8,Day,ChetAlefKafSofit,Chet,Alef,Kaf(final),Cahetel,-el,Cherubim,Taurus,5–10°,"Harvest, blessing, expelling evil, bounty",יְהוָה צִדְקֵנוּ בְּיוֹם צָרָה יְפַלְּטֵנוּ
08:40–09:00 AM,9,Day,HeHeMem,He,He,Mem,Haziel,-el,Cherubim,Taurus,10–15°,"Forgiveness, mercy, reconciliation",רַחֲמִים יְהוָה עָלֵינוּ כַּרֶּבֶצ חֶסֶדְּךָ
09:00–09:20 AM,10,Day,LamedSamekhKaf,Lamed,Samekh,Kaf,Aladiah,-iah,Cherubim,Taurus,15–20°,"Healing ailments, divine grace, forgiveness",רְאֵה עָנְיִי וְחַלְּצֵנִי כִּי תוֹרָתְךָ לֹא שָׁכָחְתִּי
